key,max_overlap_loss,max_overlap_session,mean_overlap_loss,final_overlap_loss,mean_iou,final_iou,ground_truth_pixels
x,0.725567,1,0.258510,0.000000,0.741490,1.000000,3349
c,0.696185,1,0.140868,0.000000,0.859132,1.000000,4980
o,0.676793,1,0.112027,0.000000,0.887973,1.000000,3654
v,0.622891,1,0.119650,0.000000,0.880350,1.000000,3453
b,0.572879,1,0.166436,0.000000,0.833564,1.000000,3156
a,0.541860,3,0.143131,0.000000,0.856869,1.000000,7646
s,0.530018,1,0.106236,0.000000,0.893764,1.000000,5047
e,0.505102,1,0.079267,0.000000,0.920733,1.000000,3915
w,0.503124,1,0.132875,0.000000,0.867125,1.000000,3627
g,0.488563,1,0.109055,0.000000,0.890945,1.000000,4666
j,0.476295,1,0.114576,0.000000,0.885424,1.000000,3933
i,0.474182,1,0.071777,0.000000,0.928223,1.000000,5501
k,0.468782,1,0.097608,0.000000,0.902392,1.000000,2899
space,0.440507,2,0.105794,0.000000,0.894206,1.000000,30803
q,0.439830,3,0.133920,0.000000,0.866080,1.000000,5260
z,0.428993,1,0.191408,0.000000,0.808592,1.000000,14811
u,0.412304,1,0.105147,0.000000,0.894853,1.000000,5495
m,0.399288,1,0.153722,0.000000,0.846278,1.000000,2685
f,0.390287,1,0.105076,0.000000,0.894924,1.000000,2966
d,0.374773,1,0.086368,0.000000,0.913632,1.000000,3796
y,0.358281,1,0.123681,0.000000,0.876319,1.000000,5826
p,0.353595,1,0.064002,0.000000,0.935998,1.000000,6625
l,0.352195,2,0.098145,0.000000,0.901855,1.000000,3169
h,0.336000,1,0.090141,0.000000,0.909859,1.000000,2989
n,0.308508,1,0.129998,0.000000,0.870002,1.000000,3819
t,0.243019,1,0.066845,0.000000,0.933155,1.000000,3674
delete,0.149904,1,0.031697,0.000000,0.968303,1.000000,21397
r,0.134706,3,0.067407,0.000000,0.932593,1.000000,3851
